6 11
7 38
8 75
9 197
10 408
11 649
12 995
13 1467
14 2042
15 2733
16 3311
17 3927
18 4433
19 5196
20 6218
21 6964
22 7966
23 9178
24 9631
25 10208
26 10433
27 10522
28 10714
29 10367
30 10480
31 10573
32 10798
33 10596
34 10688
35 10440
36 10269
37 10447
38 9917
39 9794
40 9316
41 8836
42 8405
43 7883
44 7850
45 7314
46 7071
47 7127
48 6968
49 7085
50 6548
51 6219
52 5835
53 5719
54 5376
55 5204
56 5242
57 4763
58 4624
59 4532
60 4218
61 4086
62 4160
63 3852
64 3857
65 3960
66 3659
67 3897
68 3837
69 3663
70 3967
71 3722
72 3625
73 3295
74 3203
75 3204
76 3387
77 3336
78 3559
79 3352
80 3407
81 3283
82 2967
83 2941
84 2892
85 2866
86 2708
87 2755
88 2685
89 2420
90 2383
91 2300
92 2344
93 2500
94 2239
95 2183
96 2202
97 2492
98 2380
99 2388
100 2274
101 2306
102 2196
103 2092
104 1715
105 1452
106 1367
107 1374
108 1233
109 935
110 751
111 706
112 647
113 415
114 266
115 274
116 147
117 74
118 1
