100000      -279763.53047172941       -40090.126442807421      
200000      -718491.59375295718       -38490.682513837375      
300000      -754915.42255859869       -35227.204423566182      
400000      -752620.45022188558       -35519.247808048691      
500000      -768039.89645567804       -32876.304503076826      
600000      -779026.24971852917       -32997.324387952271      
700000      -786685.54447512398       -32148.221706500262      
800000      -795459.06547009654       -29045.212335518099      
900000      -801355.57919888105       -30191.38254239973       
1000000     -801511.66418434482       -28941.352659036926      
