100000      103969251918.8506         2650976628.0255365       
200000      -2382767.5057819649       -3685.544116503117       
300000      -2473557.6943060416       -2899.8939235076305      
400000      -2507012.1605626498       -2919.7064467827486      
500000      -2511176.5596752833       -2889.0893924323277      
600000      -2529429.2602270157       -2864.7248430278519      
700000      -2556808.8777883044       -3124.5576278071849      
800000      -2532778.2987845913       -3032.0466149471658      
900000      -2526104.2940225257       -3302.6361911623276      
1000000     -2543583.3460157267       -2918.8378746002313      
