10000       24
20000       22
30000       46
40000       108
50000       101
60000       36
70000       13
80000       51
90000       117
100000      99
110000      95
120000      95
130000      93
140000      125
150000      89
160000      108
170000      109
180000      31
190000      29
200000      68
210000      58
220000      26
230000      27
240000      23
250000      24
260000      56
270000      94
280000      32
290000      39
300000      29
310000      22
320000      47
330000      31
340000      21
350000      30
360000      30
370000      45
380000      41
390000      27
400000      43
410000      23
420000      53
430000      28
440000      69
450000      26
460000      13
470000      34
480000      58
490000      115
500000      102
510000      120
520000      97
530000      82
540000      16
550000      34
560000      52
570000      42
580000      62
590000      25
600000      100
610000      82
620000      24
630000      90
640000      99
650000      30
660000      89
670000      66
680000      89
690000      107
700000      62
710000      53
720000      55
730000      30
740000      85
750000      60
760000      46
770000      37
780000      74
790000      53
800000      101
810000      87
820000      119
830000      29
840000      101
850000      86
860000      24
870000      48
880000      31
890000      72
900000      107
910000      29
920000      41
930000      64
940000      39
950000      21
960000      57
970000      79
980000      33
990000      85
1000000     44
