100000      88219058.649866924        821523.82261958998       
200000      -562197.84966898931       813410.56851495849       
300000      -592162.53645523498       810950.35441560426       
400000      -627796.50022391742       807703.78629132966       
500000      -654667.78093510494       796298.25996467238       
600000      -677001.71283522632       786853.23813228146       
700000      -679419.61767171766       785142.31648555421       
800000      -680162.82192717493       799035.38938557694       
900000      -695334.65979164897       796414.49607712484       
1000000     -698579.73555603635       780709.84924916748       
