100000      -1880011995.5245876       23922.589024128589       
200000      305553.3604564686         111979.21084238803       
300000      314646.00907020841        115410.49096795202       
400000      327388.35146416677        97112.294830717365       
500000      305090.09594932763        125947.8581295297        
600000      310981.7895293936         80115.251638008762       
700000      329388.25538326002        103112.93324757142       
800000      334918.40714116825        129435.00757424334       
900000      293582.31708472071        95995.948815638112       
1000000     298397.77246100013        122203.79216517805       
