dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 1713 [ 9.229312, -5.825781, 35.169567 ]
atom 1714 [ 8.698247, -6.670371, 35.101460 ]
atom 1715 [ 8.614654, -5.039526, 35.106339 ]
atom 1716 [ 6.764916, -10.666701, 38.649178 ]
atom 1717 [ 6.051563, -11.359540, 38.543808 ]
atom 1718 [ 6.426620, -9.925445, 39.228916 ]
atom 1719 [ 5.917991, -9.347129, -40.242706 ]
atom 1720 [ 5.302794, -8.595305, -40.479973 ]
atom 1721 [ 5.422003, -10.025149, -39.700226 ]
atom 1722 [ 9.054118, -7.728506, -9.747534 ]
atom 1723 [ 9.477625, -6.935393, -9.309795 ]
atom 1724 [ 8.579492, -7.436973, -10.578039 ]
atom 1725 [ 8.841064, -8.770864, -36.747509 ]
atom 1726 [ 8.792445, -8.744257, -37.745972 ]
atom 1727 [ 9.128963, -7.876985, -36.403862 ]
atom 1728 [ -4.957994, -8.455627, 35.749039 ]
atom 1729 [ -5.232739, -7.794826, 36.447506 ]
atom 1730 [ -5.084902, -9.383488, 36.099709 ]
atom 1731 [ -11.637625, 7.063537, -31.315668 ]
atom 1732 [ -11.568382, 8.061043, -31.301931 ]
atom 1733 [ -12.527959, 6.786201, -30.954573 ]
atom 1734 [ 3.225395, -8.667669, -31.203327 ]
atom 1735 [ 3.065602, -7.710178, -31.443487 ]
atom 1736 [ 3.854966, -8.716240, -30.427904 ]
atom 1737 [ -12.770105, 11.191030, -17.599768 ]
atom 1738 [ -11.865451, 11.083027, -18.012001 ]
atom 1739 [ -13.432322, 11.434870, -18.308294 ]
atom 1740 [ 12.682087, -10.596666, -41.075592 ]
atom 1741 [ 12.518123, -11.463947, -41.545635 ]
atom 1742 [ 13.411060, -10.715509, -40.401447 ]
atom 1743 [ -4.796872, -5.572878, -13.280401 ]
atom 1744 [ -4.481334, -5.287727, -12.375346 ]
atom 1745 [ -4.842640, -6.571114, -13.318237 ]
atom 1746 [ 6.055190, 5.890820, -22.571987 ]
atom 1747 [ 6.582679, 5.138702, -22.967049 ]
atom 1748 [ 6.646849, 6.688840, -22.457520 ]
atom 1749 [ 11.064483, -6.779244, -20.092916 ]
atom 1750 [ 11.263061, -5.806302, -20.211029 ]
atom 1751 [ 10.316689, -7.043180, -20.702131 ]
atom 1752 [ -8.146695, 0.494824, 34.483147 ]
atom 1753 [ -8.069338, 0.072181, 33.580158 ]
atom 1754 [ -8.266864, -0.216988, 35.175163 ]
atom 1755 [ 7.857477, 10.847079, -22.423658 ]
atom 1756 [ 7.025442, 10.875526, -21.869665 ]
atom 1757 [ 8.610640, 11.265014, -21.915646 ]
atom 1758 [ 10.279644, -4.280099, -41.649712 ]
atom 1759 [ 10.798136, -4.908691, -42.229401 ]
atom 1760 [ 9.602174, -3.797063, -42.204430 ]
atom 1761 [ -5.557055, -5.968546, -25.644810 ]
atom 1762 [ -4.819604, -5.481899, -26.113148 ]
atom 1763 [ -5.173721, -6.524865, -24.907541 ]
atom 1764 [ -5.954680, 6.914020, -10.359825 ]
atom 1765 [ -6.874779, 6.587739, -10.143126 ]
atom 1766 [ -5.650507, 6.506130, -11.220700 ]
atom 1767 [ 5.667974, 2.752145, 38.617447 ]
atom 1768 [ 6.610651, 2.608446, 38.918629 ]
atom 1769 [ 5.580568, 2.486256, 37.657413 ]
atom 1770 [ -2.724959, -10.147736, -21.986040 ]
atom 1771 [ -3.487517, -9.833153, -21.420759 ]
atom 1772 [ -2.550380, -9.481443, -22.711006 ]
atom 1773 [ 8.611566, 3.204644, -8.281509 ]
atom 1774 [ 8.617291, 4.190544, -8.114270 ]
atom 1775 [ 9.525289, 2.908417, -8.559645 ]
atom 1776 [ -11.093394, 9.254694, 41.168652 ]
atom 1777 [ -10.108973, 9.115572, 41.276173 ]
atom 1778 [ -11.291120, 10.234708, 41.146824 ]
atom 1779 [ -3.281333, -12.813463, -21.168049 ]
atom 1780 [ -4.204178, -12.953386, -20.809195 ]
atom 1781 [ -3.171198, -11.857780, -21.441067 ]
atom 1782 [ -11.739289, 8.659583, 35.177185 ]
atom 1783 [ -12.253191, 8.071101, 34.553009 ]
atom 1784 [ -11.690195, 9.584081, 34.799171 ]
atom 1785 [ 14.281673, 3.032433, -21.439093 ]
atom 1786 [ 14.690870, 2.875213, -20.540293 ]
atom 1787 [ 13.480694, 3.623193, -21.341957 ]
atom 1788 [ -5.755541, -13.823337, 37.119823 ]
atom 1789 [ -5.636586, -12.830556, 37.104462 ]
atom 1790 [ -5.582946, -14.193896, 36.207195 ]
atom 1791 [ 11.076080, 7.921742, -24.947983 ]
atom 1792 [ 11.924909, 8.339270, -24.623695 ]
atom 1793 [ 10.384007, 8.631684, -25.078428 ]
atom 1794 [ -1.332404, 7.056960, -21.294395 ]
atom 1795 [ -1.653964, 6.536608, -22.085491 ]
atom 1796 [ -0.656142, 6.517303, -20.792955 ]
atom 1797 [ -5.901497, -13.025729, -17.302610 ]
atom 1798 [ -5.825600, -13.942711, -16.910969 ]
atom 1799 [ -5.015613, -12.565162, -17.247044 ]
atom 1800 [ -10.448566, -8.016219, -14.168996 ]
atom 1801 [ -10.216028, -8.495611, -15.015228 ]
atom 1802 [ -9.795547, -8.266130, -13.454075 ]
atom 1803 [ 11.038333, -10.484856, 40.684788 ]
atom 1804 [ 11.757338, -11.161965, 40.528084 ]
atom 1805 [ 10.148997, -10.886239, 40.465759 ]
atom 1806 [ -10.414093, -9.689619, -33.521030 ]
atom 1807 [ -10.297964, -10.335508, -32.766483 ]
atom 1808 [ -11.372642, -9.678485, -33.805740 ]
atom 1809 [ 0.484676, 7.766776, -12.254412 ]
atom 1810 [ 0.946854, 8.652617, -12.295387 ]
atom 1811 [ 1.166634, 7.035747, -12.231381 ]
atom 1812 [ -14.005579, 9.225330, -40.603958 ]
atom 1813 [ -13.176058, 8.741533, -40.324970 ]
atom 1814 [ -14.750409, 8.568734, -40.722744 ]
atom 1815 [ 0.910995, -13.038266, -34.036434 ]
atom 1816 [ 0.425394, -12.214230, -33.744617 ]
atom 1817 [ 1.833582, -12.793500, -34.334633 ]
atom 1818 [ -13.493762, -7.868463, 38.157757 ]
atom 1819 [ -13.822323, -7.977254, 39.095955 ]
atom 1820 [ -14.191243, -7.403985, 37.612064 ]
atom 1821 [ 5.891768, -4.913872, -31.907160 ]
atom 1822 [ 5.898040, -4.927104, -30.907269 ]
atom 1823 [ 6.205902, -5.797551, -32.254192 ]
atom 1824 [ -2.616875, -9.255114, -33.102562 ]
atom 1825 [ -2.466855, -8.934604, -34.037853 ]
atom 1826 [ -1.873602, -9.869319, -32.837425 ]
atom 1827 [ -12.548080, 10.520755, -23.764639 ]
atom 1828 [ -13.082136, 9.723818, -24.046909 ]
atom 1829 [ -12.801197, 11.307871, -24.327116 ]
atom 1830 [ 3.935338, 0.488367, -18.155531 ]
atom 1831 [ 3.904321, 1.480861, -18.037237 ]
atom 1832 [ 3.013894, 0.145492, -18.338230 ]
atom 1833 [ -3.594310, -9.844523, -7.427488 ]
atom 1834 [ -4.504968, -9.460093, -7.578864 ]
atom 1835 [ -3.323208, -10.383451, -8.225022 ]
atom 1836 [ -8.013382, -3.571825, -21.770708 ]
atom 1837 [ -7.241129, -3.146140, -22.242321 ]
atom 1838 [ -8.665065, -3.919486, -22.444830 ]
atom 1839 [ -9.538068, -8.604362, -20.745468 ]
atom 1840 [ -9.476396, -8.755522, -21.732052 ]
atom 1841 [ -8.706498, -8.941384, -20.303984 ]
atom 1842 [ -6.870829, 1.954664, -22.059027 ]
atom 1843 [ -6.861531, 2.241858, -21.101200 ]
atom 1844 [ -7.759336, 1.551098, -22.277407 ]
atom 1845 [ 6.848013, 12.316514, -9.181887 ]
atom 1846 [ 7.453678, 12.918948, -8.662036 ]
atom 1847 [ 6.288057, 12.863304, -9.804358 ]
atom 1848 [ 14.303920, 7.522985, -37.313263 ]
atom 1849 [ 15.266543, 7.793312, -37.296539 ]
atom 1850 [ 13.728319, 8.340568, -37.328815 ]
atom 1851 [ 4.482211, -6.277050, -27.828354 ]
atom 1852 [ 5.224594, -6.412279, -27.172169 ]
atom 1853 [ 4.682643, -5.480676, -28.398981 ]
atom 1854 [ 7.355151, 4.298102, -37.091087 ]
atom 1855 [ 7.386273, 5.034572, -37.766842 ]
atom 1856 [ 7.852565, 4.577921, -36.269939 ]
atom 1857 [ 6.945666, -14.020463, -33.861286 ]
atom 1858 [ 7.507382, -13.231420, -34.110054 ]
atom 1859 [ 6.232238, -13.733483, -33.222019 ]
atom 1860 [ 13.342663, 13.719610, 38.953018 ]
atom 1861 [ 13.075563, 12.765522, 38.817471 ]
atom 1862 [ 14.065835, 13.958593, 38.305016 ]
atom 1863 [ -7.667177, -6.033753, 41.919708 ]
atom 1864 [ -6.691462, -6.146046, 41.731640 ]
atom 1865 [ -7.787409, -5.625824, 42.824772 ]
atom 1866 [ 8.535482, -12.523603, -20.869707 ]
atom 1867 [ 8.449779, -11.607040, -21.260305 ]
atom 1868 [ 9.007021, -13.120009, -21.519283 ]
atom 1869 [ -8.788956, -14.513239, 41.693001 ]
atom 1870 [ -8.357683, -13.611324, 41.669456 ]
atom 1871 [ -9.524090, -14.548973, 41.016022 ]
atom 1872 [ -10.075165, 11.065156, 37.836777 ]
atom 1873 [ -9.356327, 10.641727, 38.388123 ]
atom 1874 [ -9.764409, 11.146897, 36.889809 ]
atom 1875 [ -12.784185, 3.612226, -30.047846 ]
atom 1876 [ -12.410700, 3.233930, -30.894840 ]
atom 1877 [ -13.075733, 4.555895, -30.204330 ]
atom 1878 [ 0.115199, -5.245652, -10.723392 ]
atom 1879 [ 0.748564, -4.803571, -10.088243 ]
atom 1880 [ -0.565891, -4.581377, -11.031377 ]
atom 1881 [ -1.157298, 7.194915, -14.388468 ]
atom 1882 [ -2.105060, 6.981258, -14.151619 ]
atom 1883 [ -0.649685, 7.424039, -13.557907 ]
atom 1884 [ 10.983914, 13.076495, -17.378981 ]
atom 1885 [ 10.910284, 13.999462, -17.001211 ]
atom 1886 [ 10.212593, 12.524291, -17.062542 ]
atom 1887 [ 0.843371, 13.933036, -29.982422 ]
atom 1888 [ 1.063069, 14.683541, -30.605700 ]
atom 1889 [ 1.071615, 14.199711, -29.046053 ]
atom 1890 [ -9.126433, 4.318297, -28.248079 ]
atom 1891 [ -10.050950, 4.033269, -27.995043 ]
atom 1892 [ -8.939269, 5.222178, -27.863409 ]
atom 1893 [ -13.936307, 3.432579, -36.263035 ]
atom 1894 [ -13.337341, 3.413815, -37.063587 ]
atom 1895 [ -14.747404, 3.981012, -36.466362 ]
atom 1896 [ 12.345786, -11.001826, -25.068882 ]
atom 1897 [ 13.208959, -11.499926, -25.151525 ]
atom 1898 [ 12.345265, -10.474494, -24.219223 ]
atom 1899 [ 1.552873, -13.702987, -31.447359 ]
atom 1900 [ 1.303048, -13.628047, -32.412746 ]
atom 1901 [ 1.639991, -12.787916, -31.053585 ]
atom 1902 [ -11.802920, -2.599560, -24.477421 ]
atom 1903 [ -11.921317, -2.671333, -25.467789 ]
atom 1904 [ -12.530941, -2.030546, -24.095049 ]
atom 1905 [ -13.960356, 0.061660, 39.230049 ]
atom 1906 [ -14.947300, 0.019820, 39.074516 ]
atom 1907 [ -13.581941, 0.857768, 38.757809 ]
atom 1908 [ 3.394619, 8.727943, -17.330788 ]
atom 1909 [ 3.829372, 8.777213, -16.431585 ]
atom 1910 [ 4.098208, 8.655560, -18.037697 ]
atom 1911 [ 6.544194, -7.201941, -33.163868 ]
atom 1912 [ 5.873573, -7.839841, -33.542484 ]
atom 1913 [ 6.917568, -6.635752, -33.898727 ]
atom 1914 [ -8.842022, -12.214744, -29.172144 ]
atom 1915 [ -8.834840, -12.944151, -28.488102 ]
atom 1916 [ -7.943955, -11.775823, -29.200842 ]
atom 1917 [ -5.654936, -3.985154, 40.524078 ]
atom 1918 [ -5.308513, -4.816260, 40.959114 ]
atom 1919 [ -5.723251, -4.129295, 39.536884 ]
atom 1920 [ -12.344782, 9.511252, 37.676792 ]
atom 1921 [ -11.615005, 10.143031, 37.938099 ]
atom 1922 [ -12.191566, 9.193701, 36.741013 ]
atom 1923 [ 5.864332, -12.910928, -23.866625 ]
atom 1924 [ 6.336421, -13.644555, -23.377827 ]
atom 1925 [ 4.922024, -13.188049, -24.054399 ]
atom 1926 [ 3.336154, 5.282219, -26.567219 ]
atom 1927 [ 3.878680, 4.465534, -26.370520 ]
atom 1928 [ 3.374063, 5.903973, -25.784924 ]
atom 1929 [ 7.185823, -10.389915, -12.404435 ]
atom 1930 [ 6.544581, -9.704051, -12.748526 ]
atom 1931 [ 7.871436, -10.586551, -13.105342 ]
atom 1932 [ -12.719519, 6.320179, 33.968407 ]
atom 1933 [ -12.868028, 5.843108, 34.834633 ]
atom 1934 [ -11.988774, 5.866017, 33.458748 ]
atom 1935 [ -9.867780, 10.783329, -40.222515 ]
atom 1936 [ -10.816586, 11.046974, -40.396465 ]
atom 1937 [ -9.264405, 11.277458, -40.848438 ]
atom 1938 [ -3.322866, 10.461669, -16.926893 ]
atom 1939 [ -3.223111, 10.465507, -17.921898 ]
atom 1940 [ -4.211372, 10.848117, -16.679474 ]
atom 1941 [ 11.200513, -14.538446, -28.953045 ]
atom 1942 [ 11.363428, -13.799009, -29.606260 ]
atom 1943 [ 10.768246, -15.308501, -29.422258 ]
atom 1944 [ -0.940070, -14.088461, 33.369064 ]
atom 1945 [ -0.877419, -15.041809, 33.664368 ]
atom 1946 [ -0.312771, -13.529593, 33.911434 ]
atom 1947 [ 12.788657, -12.315254, 39.916924 ]
atom 1948 [ 13.337127, -11.902899, 39.189499 ]
atom 1949 [ 13.310304, -13.048735, 40.352688 ]
atom 1950 [ -14.142694, -14.321939, -18.441652 ]
atom 1951 [ -14.698527, -15.070674, -18.080482 ]
atom 1952 [ -13.854041, -13.728575, -17.690254 ]
atom 1953 [ 13.602960, 7.349158, -11.606325 ]
atom 1954 [ 14.593513, 7.433372, -11.498110 ]
atom 1955 [ 13.144805, 7.783185, -10.830623 ]
atom 1956 [ -3.903171, -12.437801, -6.425117 ]
atom 1957 [ -3.101679, -12.902634, -6.801336 ]
atom 1958 [ -3.785877, -11.448475, -6.511579 ]
atom 1959 [ -9.025386, 14.535887, -36.180138 ]
atom 1960 [ -9.368911, 14.072784, -35.363113 ]
atom 1961 [ -8.840325, 13.859923, -36.893459 ]
atom 1962 [ 5.747643, 10.470345, -40.170200 ]
atom 1963 [ 4.796922, 10.269964, -40.406796 ]
atom 1964 [ 6.306328, 10.462356, -40.999538 ]
atom 1965 [ -3.629340, -12.574375, -25.140059 ]
atom 1966 [ -3.173358, -12.980544, -24.348156 ]
atom 1967 [ -3.058899, -12.696771, -25.952227 ]
atom 1968 [ 14.584099, -13.280479, -30.335665 ]
atom 1969 [ 13.676992, -13.601808, -30.063808 ]
atom 1970 [ 15.282309, -13.867600, -29.926041 ]
atom 1971 [ -1.394256, -12.035213, -15.190652 ]
atom 1972 [ -0.501220, -12.249005, -15.586604 ]
atom 1973 [ -1.476166, -12.474796, -14.296192 ]
atom 1974 [ 3.756500, -6.023283, -36.857719 ]
atom 1975 [ 3.177333, -5.314800, -37.260979 ]
atom 1976 [ 4.717978, -5.794599, -37.010239 ]
atom 1977 [ 5.626664, -0.777544, -33.386570 ]
atom 1978 [ 5.094304, -0.313160, -34.094341 ]
atom 1979 [ 5.998620, -0.100725, -32.751301 ]
atom 1980 [ 6.799857, -7.994217, -15.943754 ]
atom 1981 [ 6.146322, -7.252144, -16.092815 ]
atom 1982 [ 6.931800, -8.498617, -16.797083 ]
atom 1983 [ 8.377857, 9.949616, -36.434845 ]
atom 1984 [ 7.806913, 9.441238, -37.079498 ]
atom 1985 [ 7.980997, 10.854292, -36.279720 ]
atom 1986 [ -7.320758, -11.597389, -8.262080 ]
atom 1987 [ -6.839892, -10.731588, -8.123671 ]
atom 1988 [ -7.018387, -12.259884, -7.576754 ]
atom 1989 [ -6.517587, -10.091537, -15.043819 ]
atom 1990 [ -6.446900, -9.429350, -15.789815 ]
atom 1991 [ -7.149595, -10.821289, -15.304644 ]
atom 1992 [ -0.398663, 0.991035, 40.657787 ]
atom 1993 [ -0.612185, 0.324815, 39.943253 ]
atom 1994 [ 0.119247, 1.749556, 40.262295 ]
atom 1995 [ 4.118080, 6.028172, -36.063568 ]
atom 1996 [ 3.938738, 6.965959, -36.360874 ]
atom 1997 [ 3.505612, 5.795065, -35.308224 ]
atom 1998 [ 9.305269, -13.666011, -8.970429 ]
atom 1999 [ 10.266352, -13.939311, -9.010763 ]
atom 2000 [ 9.055655, -13.198952, -9.818692 ]
atom 2001 [ -1.599254, -13.503930, -37.689453 ]
atom 2002 [ -0.894693, -13.932128, -37.123554 ]
atom 2003 [ -1.716875, -12.550764, -37.410812 ]
atom 2004 [ 8.151238, 8.753131, -33.988453 ]
atom 2005 [ 7.408929, 8.120798, -34.210110 ]
atom 2006 [ 8.383850, 9.291204, -34.798618 ]
atom 2007 [ 7.906926, 11.306783, -19.095112 ]
atom 2008 [ 8.631948, 11.628198, -19.704239 ]
atom 2009 [ 8.060760, 11.666660, -18.174883 ]
atom 2010 [ -9.273160, 8.497512, -19.632294 ]
atom 2011 [ -9.186405, 8.367065, -20.619946 ]
atom 2012 [ -9.697095, 9.384501, -19.449183 ]
atom 2013 [ 4.746189, -2.316434, 39.040474 ]
atom 2014 [ 4.455784, -2.567905, 38.117203 ]
atom 2015 [ 4.633947, -1.331024, 39.168419 ]
atom 2016 [ 1.410383, -9.598785, -39.483650 ]
atom 2017 [ 1.902321, -9.230671, -38.694672 ]
atom 2018 [ 0.749104, -8.922945, -39.809151 ]
atom 2019 [ 2.524235, 4.083536, -20.385679 ]
atom 2020 [ 2.299109, 3.111234, -20.322857 ]
atom 2021 [ 2.467566, 4.377845, -21.339706 ]
atom 2022 [ -5.776039, -9.334514, -23.275917 ]
atom 2023 [ -5.040919, -9.488827, -23.936058 ]
atom 2024 [ -5.393787, -9.304386, -22.352350 ]
atom 2025 [ -6.622692, 14.175848, -21.363705 ]
atom 2026 [ -6.884413, 14.341352, -22.314550 ]
atom 2027 [ -6.300045, 15.028850, -20.953476 ]
atom 2028 [ -13.849145, -2.488022, -38.854527 ]
atom 2029 [ -13.731468, -1.758927, -39.528748 ]
atom 2030 [ -13.568383, -3.360456, -39.254566 ]
atom 2031 [ -9.465948, -2.555862, -9.559938 ]
atom 2032 [ -9.164648, -1.945979, -10.292919 ]
atom 2033 [ -10.139689, -3.201531, -9.919359 ]
atom 2034 [ -3.194993, -12.449738, -17.227575 ]
atom 2035 [ -2.552262, -12.328243, -16.471178 ]
atom 2036 [ -3.111432, -13.377928, -17.590178 ]
atom 2037 [ 11.680995, -7.317354, -39.397976 ]
atom 2038 [ 12.209439, -7.467931, -40.233486 ]
atom 2039 [ 10.727364, -7.132492, -39.635490 ]
atom 2040 [ -4.760244, 2.141355, -34.664413 ]
atom 2041 [ -5.234152, 2.319081, -33.801964 ]
atom 2042 [ -3.795672, 2.388379, -34.571793 ]
atom 2043 [ -1.977066, -1.462533, 33.676300 ]
atom 2044 [ -2.351251, -0.869616, 34.389343 ]
atom 2045 [ -2.538735, -2.286281, 33.599041 ]
atom 2046 [ -12.442218, 11.383212, -21.181129 ]
atom 2047 [ -12.128487, 12.317841, -21.348585 ]
atom 2048 [ -12.504582, 10.891850, -22.049849 ]
atom 2049 [ -9.815012, 3.354473, -12.722516 ]
atom 2050 [ -9.845255, 2.981131, -11.795315 ]
atom 2051 [ -9.143729, 4.094616, -12.762103 ]
atom 2052 [ 14.264765, -2.618490, 34.427895 ]
atom 2053 [ 13.540215, -3.223274, 34.097347 ]
atom 2054 [ 13.967734, -1.667083, 34.346672 ]
atom 2055 [ -2.642563, -9.165005, -27.672077 ]
atom 2056 [ -2.454986, -8.183167, -27.643656 ]
atom 2057 [ -1.796477, -9.670999, -27.504419 ]
atom 2058 [ 0.475879, -7.476352, -15.156258 ]
atom 2059 [ 0.750829, -8.417441, -14.959396 ]
atom 2060 [ 0.711570, -6.891013, -14.380482 ]
atom 2061 [ -14.064482, 0.885554, -35.131683 ]
atom 2062 [ -14.017735, 1.711630, -35.693298 ]
atom 2063 [ -13.792919, 0.094246, -35.679485 ]
atom 2064 [ -12.484821, 13.651351, -11.558945 ]
atom 2065 [ -12.401189, 13.634414, -10.562593 ]
atom 2066 [ -12.055223, 14.481017, -11.915454 ]
atom 2067 [ 12.076627, -0.092124, -13.242924 ]
atom 2068 [ 12.610107, 0.457631, -12.600142 ]
atom 2069 [ 11.317924, 0.453648, -13.598598 ]
atom 2070 [ 4.361284, -4.852999, -8.464266 ]
atom 2071 [ 4.956222, -5.066083, -9.239278 ]
atom 2072 [ 3.999910, -5.701749, -8.078218 ]
atom 2073 [ 5.833935, -12.525072, 35.849957 ]
atom 2074 [ 5.527720, -12.564981, 36.801083 ]
atom 2075 [ 5.046309, -12.375686, 35.252186 ]
atom 2076 [ 1.338841, -0.354606, -18.714342 ]
atom 2077 [ 1.020561, -1.253917, -19.014240 ]
atom 2078 [ 1.003549, -0.173605, -17.789780 ]
atom 2079 [ -11.767698, 5.827339, -16.242369 ]
atom 2080 [ -11.307683, 6.051869, -17.101421 ]
atom 2081 [ -12.417336, 6.552091, -16.012793 ]
atom 2082 [ -0.950895, 1.930733, -18.051769 ]
atom 2083 [ -0.921341, 2.926695, -17.966988 ]
atom 2084 [ -0.251970, 1.525163, -17.462688 ]
atom 2085 [ -0.169294, -8.315025, -25.289326 ]
atom 2086 [ -0.247105, -9.095137, -25.910109 ]
atom 2087 [ 0.740183, -8.309259, -24.873611 ]
atom 2088 [ 2.701848, -5.127873, -40.485188 ]
atom 2089 [ 3.249440, -4.512788, -41.052475 ]
atom 2090 [ 2.652248, -4.766797, -39.553974 ]
atom 2091 [ -7.211102, 7.314748, -18.187969 ]
atom 2092 [ -7.929561, 7.806208, -18.680193 ]
atom 2093 [ -6.463630, 7.943608, -17.973911 ]
atom 2094 [ 7.496065, -3.538348, -10.093175 ]
atom 2095 [ 6.807008, -4.220645, -10.337451 ]
atom 2096 [ 8.299266, -3.651574, -10.678024 ]
atom 2097 [ -5.155142, -1.591477, 37.936611 ]
atom 2098 [ -4.403854, -1.040213, 38.299480 ]
atom 2099 [ -6.027801, -1.183176, 38.204491 ]
atom 2100 [ 9.548475, -13.689885, -14.050747 ]
atom 2101 [ 9.373688, -12.707552, -13.983880 ]
atom 2102 [ 9.824558, -14.040992, -13.156038 ]
atom 2103 [ -9.445079, 14.206227, -14.494718 ]
atom 2104 [ -9.849337, 13.490476, -13.925266 ]
atom 2105 [ -9.107029, 14.944938, -13.911597 ]
atom 2106 [ -6.893799, -7.337271, -27.654871 ]
atom 2107 [ -6.502458, -6.791223, -26.914139 ]
atom 2108 [ -6.915889, -8.299581, -27.383816 ]
atom 2109 [ -9.760187, -10.283609, -8.470748 ]
atom 2110 [ -10.616943, -10.794774, -8.539163 ]
atom 2111 [ -8.991008, -10.922503, -8.457390 ]
atom 2112 [ 3.823808, 2.532392, -8.197397 ]
atom 2113 [ 3.876126, 1.541926, -8.069957 ]
atom 2114 [ 2.865884, 2.819314, -8.189786 ]
atom 2115 [ -2.718942, -2.780420, -33.562527 ]
atom 2116 [ -2.360556, -1.916619, -33.208397 ]
atom 2117 [ -3.707862, -2.703869, -33.689716 ]
atom 2118 [ -12.177083, 12.434063, -29.145918 ]
atom 2119 [ -12.558970, 11.523632, -28.986929 ]
atom 2120 [ -11.843606, 12.496031, -30.086637 ]
atom 2121 [ -8.416015, 8.381992, -40.649338 ]
atom 2122 [ -7.497921, 8.282524, -40.265659 ]
atom 2123 [ -8.821495, 9.237068, -40.326180 ]
atom 2124 [ -4.118396, 2.451578, 38.983902 ]
atom 2125 [ -4.193819, 2.347715, 37.992176 ]
atom 2126 [ -4.602890, 3.278165, 39.270294 ]
atom 2127 [ 11.131408, -5.147894, -37.812416 ]
atom 2128 [ 11.441838, -5.929345, -38.353680 ]
atom 2129 [ 11.817547, -4.421491, -37.851799 ]
atom 2130 [ -3.351188, -7.551203, 38.685242 ]
atom 2131 [ -4.220126, -7.156795, 38.386265 ]
atom 2132 [ -2.983956, -7.012502, 39.443489 ]
atom 2133 [ -0.123446, -14.645358, -25.384842 ]
atom 2134 [ 0.620866, -15.238694, -25.078323 ]
atom 2135 [ -0.744306, -14.467937, -24.621262 ]
atom 2136 [ -9.094269, 13.127028, -20.602369 ]
atom 2137 [ -9.731293, 13.293483, -21.355028 ]
atom 2138 [ -8.164028, 13.342955, -20.899065 ]
atom 2139 [ -14.060616, -1.092328, -16.860600 ]
atom 2140 [ -14.379504, -0.914496, -17.791559 ]
atom 2141 [ -13.069794, -0.964228, -16.817471 ]
atom 2142 [ -13.262937, -2.148299, -13.948866 ]
atom 2143 [ -13.792613, -2.646744, -14.635157 ]
atom 2144 [ -13.629583, -1.222970, -13.852242 ]
atom 2145 [ -8.229341, 6.819794, 35.613811 ]
atom 2146 [ -7.630614, 6.032939, 35.464188 ]
atom 2147 [ -9.114897, 6.504688, 35.955132 ]
atom 2148 [ -1.606704, -3.327876, -11.723746 ]
atom 2149 [ -2.492577, -3.711379, -11.462682 ]
atom 2150 [ -1.664703, -2.955179, -12.649885 ]
atom 2151 [ 4.166756, -10.204280, -35.774937 ]
atom 2152 [ 4.246380, -9.793090, -34.866871 ]
atom 2153 [ 5.078908, -10.330311, -36.164928 ]
atom 2154 [ 2.057801, -4.163788, -37.986942 ]
atom 2155 [ 2.051421, -3.167388, -37.902409 ]
atom 2156 [ 1.161711, -4.525848, -37.730164 ]
atom 2157 [ 3.307613, -5.953413, -31.881407 ]
atom 2158 [ 2.833148, -5.529175, -31.110107 ]
atom 2159 [ 4.163805, -5.466657, -32.054623 ]
atom 2160 [ -11.102628, -3.717416, -14.510535 ]
atom 2161 [ -11.806266, -3.019906, -14.374987 ]
atom 2162 [ -10.851847, -3.754336, -15.477876 ]
atom 2163 [ 3.769606, 0.876103, -27.451736 ]
atom 2164 [ 3.009753, 1.001045, -26.813761 ]
atom 2165 [ 3.437748, 0.427646, -28.281651 ]
atom 2166 [ -0.496410, 9.511535, -20.373341 ]
atom 2167 [ -0.832867, 8.734418, -20.905210 ]
atom 2168 [ 0.060889, 9.178594, -19.612703 ]
atom 2169 [ -13.444452, -4.501806, -28.980507 ]
atom 2170 [ -12.613773, -5.057244, -28.942286 ]
atom 2171 [ -14.244760, -5.090874, -28.868673 ]
atom 2172 [ -1.789145, -6.631932, -27.088718 ]
atom 2173 [ -2.366185, -5.834695, -26.911411 ]
atom 2174 [ -1.278567, -6.864581, -26.260960 ]
atom 2175 [ -13.130343, -12.710819, -16.539179 ]
atom 2176 [ -12.255452, -13.159695, -16.357309 ]
atom 2177 [ -13.019954, -11.720239, -16.458157 ]
atom 2178 [ 7.157263, -9.767227, -9.748086 ]
atom 2179 [ 7.154418, -9.987330, -10.723558 ]
atom 2180 [ 7.837245, -9.056261, -9.568776 ]
atom 2181 [ 1.391110, -4.778267, 41.210213 ]
atom 2182 [ 1.141788, -5.717768, 41.445110 ]
atom 2183 [ 2.230903, -4.526119, 41.691013 ]
atom 2184 [ 4.276484, -2.526688, -25.534739 ]
atom 2185 [ 3.851471, -2.566961, -26.439030 ]
atom 2186 [ 3.623448, -2.839971, -24.845249 ]
atom 2187 [ 3.627561, -11.690191, 34.452896 ]
atom 2188 [ 2.954966, -12.016119, 33.788528 ]
atom 2189 [ 3.156385, -11.234281, 35.207973 ]
atom 2190 [ 12.105274, -4.044316, 33.555580 ]
atom 2191 [ 12.075796, -4.878441, 34.106369 ]
