dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 110 [ -12.340317, 11.572393, 20.801428 ]
atom 111 [ -12.495731, 13.128931, 29.693752 ]
atom 112 [ 5.944410, 14.082606, 27.997711 ]
atom 113 [ 3.593832, -13.520924, 28.672710 ]
atom 114 [ 4.418380, -9.864313, 24.379259 ]
atom 115 [ 1.613986, -8.432185, 25.309656 ]
atom 116 [ 1.004172, -6.012061, 32.683949 ]
atom 117 [ -0.524235, -2.526938, 29.024715 ]
atom 118 [ -1.921194, -0.546045, 26.827173 ]
atom 119 [ -3.668828, 0.766835, 30.690855 ]
atom 120 [ -4.596175, 3.372214, 27.990257 ]
atom 121 [ -7.500031, 5.433879, 29.866009 ]
atom 122 [ -6.160903, 7.154082, 21.269403 ]
atom 123 [ -7.809566, 10.057613, 21.918337 ]
atom 124 [ -10.032576, 11.956045, 23.717613 ]
atom 125 [ -10.357852, 14.342325, 20.640190 ]
atom 126 [ 8.406669, -13.897286, 26.872711 ]
atom 127 [ 6.043478, -12.308574, 21.386780 ]
atom 128 [ 6.007565, -8.867060, 21.454037 ]
atom 129 [ 4.343779, -7.706728, 27.194778 ]
atom 130 [ 3.588331, -6.012306, 29.919577 ]
atom 131 [ 2.631256, -5.215551, 25.566713 ]
atom 132 [ 2.015338, -1.993150, 25.712740 ]
atom 133 [ -0.453425, 0.063540, 30.943817 ]
atom 134 [ -1.574410, 2.167085, 28.576773 ]
atom 135 [ -3.190362, 5.396319, 20.045036 ]
atom 136 [ -3.974825, 5.375800, 23.755526 ]
atom 137 [ -5.385313, 8.166136, 24.865276 ]
atom 138 [ -7.798320, 10.188550, 25.847998 ]
atom 139 [ -7.193688, 13.375889, 21.773510 ]
atom 140 [ 10.018147, -14.697769, 23.810282 ]
atom 141 [ 9.151289, -11.579283, 32.175987 ]
atom 142 [ 8.797273, -10.533703, 19.967953 ]
atom 143 [ 7.497917, -8.832460, 24.872522 ]
