100000      -646546.82769787789       277194.90100407699       
200000      17756.739006588679        352740.41951307742       
300000      12867.596073185436        352696.14242778032       
400000      11885.690957800754        358939.82307088509       
500000      13625.912652290437        351615.83361019706       
600000      11083.046047397362        354858.0057612508        
700000      9584.6688418039012        368434.81868683751       
800000      6239.0783321678073        366365.53969991615       
900000      5184.5615982711415        379770.76986753114       
1000000     5311.9860407364049        386519.94564590941       
