100000      282.806 217.194
200000      421.966 78.0343
300000      446.099 53.9012
400000      447.584 52.4157
500000      443.304 56.6962
600000      434.992 65.0078
700000      440.962 59.0378
800000      440.575 59.4255
900000      429.547 70.453
1000000     430.485 69.5155
