100000      -31341.774795379188       34695.024076928843       
200000      -442203.10658874374       87112.584866540681       
300000      -579538.00079854392       72712.0488849916         
400000      -628977.19836408296       70931.041394214582       
500000      -679091.1418235373        76934.246042939834       
600000      -689431.12892731535       88395.183846335902       
700000      -723671.21227469039       85711.856500023045       
800000      -731391.42926954024       85390.891615117143       
900000      -742693.9255638402        87289.879535571497       
1000000     -751975.1221108149        95412.314394074347       
