100000      94264.7432009763          187256.48746723487       
200000      -1744.7619407325453       181268.21159116033       
300000      -221086.61929486197       125953.66243589463       
400000      -277331.15743851522       111223.48943161254       
500000      -331434.69822157919       115399.75197183632       
600000      -438578.6772793032        112277.11458111335       
700000      -507349.22478066391       105365.76054212223       
800000      -591762.67512794759       108609.20245757507       
900000      -613759.68248450325       119609.35482271458       
1000000     -620921.29344253882       123021.67715917408       
