100000      -707276.89136584243       -1105715.9686947642      
200000      603691.87141670019        103867.96057056513       
300000      812989.17938156007        35069.675922318755       
400000      888712.7892372096         21378.379473321336       
500000      881066.92393203091        18960.56305710744        
600000      886467.59851754725        19935.602882498668       
700000      964097.44164415938        19513.725200236724       
800000      914058.5104816088         18589.866811701479       
900000      961976.1463835563         21253.387796601994       
1000000     869297.13339756371        24982.833085494622       
