100000      507.683 300.317
200000      648.966 159.034
300000      700.647 107.353
400000      742.859 65.141
500000      740.047 67.9525
600000      744.459 63.5406
700000      730.223 77.7768
800000      731.862 76.1376
900000      721.736 86.264
1000000     699.704 108.296
