100000      1036.16 863.843
200000      1221.69 678.31
300000      1307.6 592.398
400000      1453.35 446.649
500000      1654.19 245.815
600000      1741.52 158.482
700000      1814.18 85.8184
800000      1875.45 24.5536
900000      1886.55 13.4531
1000000     1884.99 15.0091
