100000      -13887745.038671076       550643.67332568148       
200000      1610948.1483212144        241042.8708305461        
300000      1767227.9533400105        107803.00400969514       
400000      1978279.7132032055        68009.068929550704       
500000      2201486.3615374528        41615.689696976522       
600000      2286699.2558581871        22077.90709205826        
700000      2399775.6121862358        11966.945551097779       
800000      2444403.8532332513        3602.0073811348261       
900000      2414680.1706975373        1962.8381377907922       
1000000     2396816.906939324         2301.637014566883        
