100000      320155.23639250133        -408314.19981058314      
200000      -1541186.9616885493       -130689.3736645202       
300000      -1937203.5332386896       -74682.942017390189      
400000      -2329543.6691590934       -48588.733851157427      
500000      -2685310.6443448821       -26535.335187333148      
600000      -2910344.7659974736       -15201.1493418832        
700000      -3085538.4075857769       -8112.522818450162       
800000      -3231814.8300417801       -2310.5472555161641      
900000      -3297744.0563554517       -1234.9796739031642      
1000000     -3319737.0846667369       -1430.0339058504896      
